title,platform,psd_URL,icon_URL,price,status
ONE PIECE: PIRATE WARRIORS 4 Ultimate Edition,PS4,https://psdeals.net/ua-store/game/2649507/one-piece-pirate-warriors-4-ultimate-edition,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0700-CUSA17226_00-OPPW4ULTEDITION0/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"2,599.00₴",-1
Jagged Alliance 3,PS5,https://psdeals.net/ua-store/game/2649038/jagged-alliance-3,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP4389-PPSA09572_00-JAGGEDALLIANCE03/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,799.00₴",-1
CUTIES HACKED: Oh no someone stole my photos!,PS5,https://psdeals.net/ua-store/game/2649036/cuties-hacked-oh-no-someone-stole-my-photos,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP2402-PPSA18503_00-CUTIESHGAMEPS5EU/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,,-1
CUTIES HACKED: Oh no someone stole my photos!,PS4,https://psdeals.net/ua-store/game/2649035/cuties-hacked-oh-no-someone-stole-my-photos,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP2402-CUSA45143_00-CUTIESHGAMEPS4EU/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,,-1
Argonauts Agency Bundle Vol.1,PS4,https://psdeals.net/ua-store/game/2648590/argonauts-agency-bundle-vol1,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP1876-CUSA40918_00-AABUNDLEVOL01PS4/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,329.00₴,-1
Blind Postman,PS5,https://psdeals.net/ua-store/game/2648589/blind-postman,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP6694-PPSA18702_00-BLINPOSTMANPS5EU/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,129.00₴,-1
TWIN P,PS4,https://psdeals.net/ua-store/game/2648588/twin-p,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP5645-CUSA35896_00-6278025066634381/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,34.00₴,-1
Mystic Gate PS4 and PS5,PS5 / PS4,https://psdeals.net/ua-store/game/2648587/mystic-gate-ps4-and-ps5,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP2005-PPSA15394_00-MYSTICGATE000000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,329.00₴,-1
Football Manager 2024 Console,PS5,https://psdeals.net/ua-store/game/2648276/football-manager-2024-console,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0177-PPSA15760_00-FM24EU0000000000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,299.00₴",-1
Colossal Cave,PS4,https://psdeals.net/ua-store/game/2648275/colossal-cave,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP7551-CUSA41247_00-0778446482962860/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,,-1
MythForce,PS4,https://psdeals.net/ua-store/game/2648274/mythforce,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0343-CUSA36025_00-MYTHFORCEPS40000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,999.00₴,-1
MythForce,PS5,https://psdeals.net/ua-store/game/2648273/mythforce,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0343-PPSA09615_00-MYTHFORCEPS50000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,999.00₴,-1
Nour: Play With Your Food,PS5 / PS4,https://psdeals.net/ua-store/game/2648272/nour-play-with-your-food,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP3825-PPSA02884_00-PLAYWITHEUROFOOD/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,489.00₴,-1
EA Sports FC 24 (PS5),PS5,https://psdeals.net/ua-store/game/2647856/ea-sports-fc-24-ps5,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0006-PPSA13391_00-EASPORTSFC2024BG/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,,-1
EA Sports FC 24 (PS5),PS5,https://psdeals.net/ua-store/game/2647855/ea-sports-fc-24-ps5,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0006-PPSA13392_00-EASPORTSFC2024BG/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,,-1
EA Sports FC 24 (PS5),PS5,https://psdeals.net/ua-store/game/2647854/ea-sports-fc-24-ps5,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0006-PPSA13385_00-EASPORTSFC2024BG/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,,-1
EA Sports FC 24 (PS4),PS4,https://psdeals.net/ua-store/game/2647853/ea-sports-fc-24-ps4,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0006-CUSA40326_00-EASPORTSFC2024BG/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,,-1
EA Sports FC 24 (PS4),PS4,https://psdeals.net/ua-store/game/2647852/ea-sports-fc-24-ps4,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0006-CUSA40327_00-EASPORTSFC2024BG/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,,-1
EA Sports FC 24 (PS4),PS4,https://psdeals.net/ua-store/game/2647851/ea-sports-fc-24-ps4,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0006-CUSA40324_00-EASPORTSFC2024BG/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,,-1
Truck Simulator Driver USA,PS4,https://psdeals.net/ua-store/game/2647850/truck-simulator-driver-usa,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP6326-CUSA43279_00-0693711658728477/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,,-1
City Police Simulator - Cop Car Games and Shooter,PS4,https://psdeals.net/ua-store/game/2647849/city-police-simulator-cop-car-games-and-shooter,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP6326-CUSA41176_00-0735358356350544/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,489.00₴,-1
Touhou: New World PS4 and PS5,PS5 / PS4,https://psdeals.net/ua-store/game/2647848/touhou-new-world-ps4-and-ps5,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP1023-PPSA16841_00-0000000000000000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,819.00₴,-1
Word Web by POWGI PS4 and PS5,PS5 / PS4,https://psdeals.net/ua-store/game/2647847/word-web-by-powgi-ps4-and-ps5,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP3597-PPSA13248_00-WORDWEBBYPOWGI00/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,259.00₴,-1
Assetto Corsa Competizione + 2023 GT World Challenge,PS5,https://psdeals.net/ua-store/game/2647611/assetto-corsa-competizione-2023-gt-world-challenge,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP4040-PPSA03848_00-ACCPLUS2023GTDLC/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,699.00₴",-1
